ProbeSetID,GeneSymbol
213423_x_at,TUSC3
202363_at,SPOCK1
209228_x_at,TUSC3
242546_at,NULL
214240_at,GAL
209278_s_at,TFPI2
242881_x_at,NULL
231882_at,FLJ39632
204540_at,EEF1A2
1565162_s_at,MGST1
204733_at,KLK6
212298_at,NRP1
206067_s_at,WT1
239010_at,NULL
231736_x_at,MGST1
224918_x_at,MGST1
214612_x_at,MAGEA6
201427_s_at,SEPP1
209227_at,TUSC3
226834_at,NULL
1569582_at,LOC201651
202628_s_at,SERPINE1
209942_x_at,MAGEA3
213258_at,TFPI
201426_s_at,VIM
202627_s_at,SERPINE1
228116_at,NULL
225645_at,EHF
219850_s_at,EHF
224189_x_at,EHF
222717_at,SDPR
206504_at,CYP24A1
202917_s_at,S100A8
203535_at,S100A9
222802_at,EDN1
232361_s_at,EHF
200665_s_at,NULL
212531_at,LCN2
222932_at,EHF
210004_at,OLR1
201650_at,KRT19
218182_s_at,CLDN1
203423_at,RBP1
205476_at,CCL20
209909_s_at,TGFB2
223861_at,HORMAD1
219630_at,PDZK1IP1
201820_at,KRT5
1553589_a_at,PDZK1IP1
222549_at,CLDN1
232360_at,EHF
204259_at,MMP7
231771_at,GJB6
202688_at,TNFSF10
213293_s_at,TRIM22
212768_s_at,OLFM4
228121_at,TGFB2
220407_s_at,TGFB2
211906_s_at,SERPINB4
224009_x_at,DHRS9
202357_s_at,CFB
244050_at,PTPLAD2
212143_s_at,IGFBP3
213849_s_at,PPP2R2B
225911_at,NPNT
202086_at,MX1
202687_s_at,TNFSF10
226374_at,CXADR
242873_at,NULL
212667_at,NULL
214329_x_at,TNFSF10
235457_at,MAML2
209908_s_at,TGFB2
210538_s_at,BIRC3
1554997_a_at,PTGS2
207761_s_at,METTL7A
200953_s_at,CCND2
206170_at,ADRB2
234973_at,SLC38A5
202376_at,SERPINA3
214279_s_at,NDRG2
228575_at,IL20RB
230030_at,HS6ST2
204470_at,CXCL1
208950_s_at,ALDH7A1
227070_at,GLT8D2
238967_at,NULL
214022_s_at,IFITM1
223952_x_at,DHRS9
1555564_a_at,CFI
219895_at,FAM70A
228335_at,CLDN11
241397_at,NULL
211122_s_at,CXCL11
205625_s_at,CALB1
205916_at,S100A7
231202_at,ALDH1L2
